definition;glottocode;id_word;id_meaning;lemma;ipa;morphology;pos;examples;reference;annotator
"ДIАДОХЬАДАЛА (дIадохьалу, дIадохьаделар, дIадохьалургда) потенц.от дIадахьа; тIормеш ~ мег царна.  Возможно, они сумеют понести сумки";ingu1240;5661;1;дIадохьадала;d-?-a-d-o-x-a-d-a-l-a;дIадохьалу, дIадохьаделар, дIадохьалургда;verb;тIормеш дiадохьадала мег царна.  Возможно, они сумеют понести сумки.;Bekova 2009;Varvara Kormilitsyna
"ДIАДУВ (дIадувр) прич.  сажающии?; ги кхалсаг.  Женщина, сажающая семена";ingu1240;5662;1;дIадув;d-?-a-d-u?-w;дIадувр;verb;ги кхалсаг.  Женщина, сажающая семена.;Bekova 2009;Varvara Kormilitsyna
"ДIАДУВЦА (дIадувц, дIадии?цар, дIадии?цад, дIадувцаргда) глаг.  рассказать, рассказывать; дукха хIама ~ гIертар тIемахо.  Много чего хотел рассказать воин";ingu1240;5663;1;дIадувца;d-?-a-d-u?-w-c-a;дIадувц, дIадии?цар, дIадии?цад, дIадувцаргда;verb;дукха хIама дiадувца гIертар тIемахо.  Много чего хотел рассказать воин.;Bekova 2009;Varvara Kormilitsyna
"ДIАДУВЦА (дIадувцар) прич.  рассказывающии?; Iомадаьр ~ дешархо.Ученик, рассказывающии? изученное";ingu1240;5664;1;дIадувца;d-?-a-d-u?-w-c-a;дIадувцар;verb;Iомадаьр дiадувца дешархо.Ученик, рассказывающии? изученное.;Bekova 2009;Varvara Kormilitsyna
"ДIАДУВЦАДАЛА (дIадувцалу, дIадувцаделар, дIадувцалургда) потенц.от дIадувца; хиннар ~ мег.  Возможно, получится рассказать о случившемся";ingu1240;5665;1;дIадувцадала;d-?-a-d-u?-w-c-a-d-a-l-a;дIадувцалу, дIадувцаделар, дIадувцалургда;verb;хиннар дiадувцадала мег.  Возможно, получится рассказать о случившемся.;Bekova 2009;Varvara Kormilitsyna
"ДIАДУВЦАР иасд.  рассказ; ~ харцахьа дац.  Лучше рассказать";ingu1240;5666;1;дIадувцар;d-?-a-d-u?-w-c-a-r;;;дiадувцар харцахьа дац.  Лучше рассказать.;Bekova 2009;Varvara Kormilitsyna
"ДIАДУВЦИИ?ТА (дIадувции?т, дIадувции?тар, дIадувции?таргда) понуд.от дIадувца; кинижка доакъошца Пересказать книгу по частям";ingu1240;5667;1;дIадувции;d-?-a-d-u?-w-c-i-i;дIадувции?т, дIадувции?тар, дIадувции?таргда;verb;кинижка доакъошца Пересказать книгу по частям.;Bekova 2009;Varvara Kormilitsyna
"ДI АДУ ВША (дIадувш, дIадии?шар, дIадии?шад, дIадувшаргда) глаг.  субъект во мн.  ч.  однократн.  деи?ств, лечь, улечься; ханнахьа Вовремя лечь";ingu1240;5668;1;дIадувша;d-?-a-d-u?-w-?-a;дIадувш, дIадии?шар, дIадии?шад, дIадувшаргда;verb;ханнахьа Вовремя лечь.;Bekova 2009;Varvara Kormilitsyna
"ДIАДУВША (дIадувшараш) прич.ложащиеся; хьалха ~ бераш.  Дети, рано ложащиеся спать";ingu1240;5669;1;дIадувша;d-?-a-d-u?-w-?-a;дIадувшараш;verb;хьалха дiадувша бераш.  Дети, рано ложащиеся спать.;Bekova 2009;Varvara Kormilitsyna
"ДIАДУВШАР масд.  от дIадувша; ~ ханнахьа хила деза.  Лечь нужно вовремя";ingu1240;5670;1;дIадувшар;d-?-a-d-u?-w-?-a-r;;masdar;дiадувшар ханнахьа хила деза.  Лечь нужно вовремя.;Bekova 2009;Varvara Kormilitsyna
"ДIАДУВШИИ?ТА (дIадувшии?т, дIадувшии?тар, дIадувшии?таргда) понуд.от дIадувша; тхо деза.  Нужно нам лечь";ingu1240;5671;1;дIадувшии;d-?-a-d-u?-w-?-i-i;дIадувшии?т, дIадувшии?тар, дIадувшии?таргда;verb;тхо деза.  Нужно нам лечь.;Bekova 2009;Varvara Kormilitsyna
"ДIАДУГА (дIадугар) прич.  отвозящии?, увозящии?; шо ~ таксист хьавоагIа.  Таксист, забирающии? вас, едет";ingu1240;5672;1;дIадуга;d-?-a-d-u?-g-a;дIадугар;verb;шо дiадуга таксист хьавоагIа.  Таксист, забирающии? вас, едет.;Bekova 2009;Varvara Kormilitsyna
"ДIАДУГАДАЛА (дIадугалу, дIадугаденнад, дIадугалургда) потенц.  от дIадига ; бераш ~ мег цунна лагере.Возможно, он сможет отвезти детеи? в лагерь";ingu1240;5673;1;дIадугадала;d-?-a-d-u?-g-a-d-a-l-a;дIадугалу, дIадугаденнад, дIадугалургда;verb;бераш дiадугадала мег цунна лагере.Возможно, он сможет отвезти детеи? в лагерь.;Bekova 2009;Varvara Kormilitsyna
